15_3_100, <011/101/110>, 852625 ,<011/100/100>, 237166
15_3_101, <011/101/110>, 799864 ,<011/100/100>, 273323
15_3_102, <011/101/110>, 766468 ,<011/100/100>, 287874
15_3_103, <011/101/110>, 679992 ,<011/100/100>, 339377
15_3_104, <011/101/110>, 720191 ,<011/100/100>, 328756
15_3_105, <011/101/110>, 744832 ,<011/100/100>, 287516
15_3_106, <011/101/110>, 786904 ,<011/100/100>, 274240
15_3_107, <011/101/110>, 824995 ,<011/100/100>, 251633
15_3_108, <011/101/110>, 678129 ,<011/100/100>, 326949
15_3_109, <011/101/110>, 656590 ,<011/100/100>, 341438
15_3_10, <011/101/110>, 760680 ,<011/100/100>, 300560
15_3_110, <011/101/110>, 848927 ,<011/100/100>, 239300
15_3_111, <011/101/110>, 671673 ,<011/100/100>, 328382
15_3_112, <011/101/110>, 726213 ,<011/100/100>, 326666
15_3_113, <011/101/110>, 754796 ,<011/100/100>, 302204
15_3_114, <011/101/110>, 766963 ,<011/100/100>, 298560
15_3_115, <011/101/110>, 775534 ,<011/100/100>, 289841
15_3_116, <011/101/110>, 790251 ,<011/100/100>, 272248
15_3_117, <011/101/110>, 745945 ,<011/100/100>, 302775
15_3_118, <011/101/110>, 850479 ,<011/100/100>, 238833
15_3_119, <011/101/110>, 744190 ,<011/100/100>, 293301
15_3_11, <011/101/110>, 654451 ,<011/100/100>, 328978
15_3_120, <011/101/110>, 771470 ,<011/100/100>, 294022
15_3_121, <011/101/110>, 844082 ,<011/100/100>, 241474
15_3_122, <011/101/110>, 666617 ,<011/100/100>, 340003
15_3_123, <011/101/110>, 782213 ,<011/100/100>, 282142
15_3_124, <011/101/110>, 850737 ,<011/100/100>, 240774
15_3_125, <011/101/110>, 723239 ,<011/100/100>, 321120
15_3_126, <011/101/110>, 735663 ,<011/100/100>, 297194
15_3_127, <011/101/110>, 755139 ,<011/100/100>, 299448
15_3_128, <011/101/110>, 682714 ,<011/100/100>, 335262
15_3_129, <011/101/110>, 803216 ,<011/100/100>, 269651
15_3_12, <011/101/110>, 818560 ,<011/100/100>, 266217
15_3_130, <011/101/110>, 578787 ,<011/100/100>, 306977
15_3_131, <011/101/110>, 698732 ,<011/100/100>, 319182
15_3_132, <011/101/110>, 768941 ,<011/100/100>, 290819
